DEBUG 2024-06-04 12:53:34,385 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_zapfdingbats.py first seen with mtime 1717071174.3002348
DEBUG 2024-06-04 12:53:34,385 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1716894251.5645123
DEBUG 2024-06-04 12:53:34,387 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1716894246.961095
DEBUG 2024-06-04 12:53:34,387 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1716894251.769184
DEBUG 2024-06-04 12:53:34,387 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1716894251.9249651
DEBUG 2024-06-04 12:53:34,388 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\wsgiref\util.py first seen with mtime 1701712920.0
DEBUG 2024-06-04 12:53:34,389 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1716894251.977146
DEBUG 2024-06-04 12:53:34,389 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\asyncio\staggered.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,389 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\asyncio\sslproto.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,389 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1716894249.4852319
DEBUG 2024-06-04 12:53:34,389 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1716894247.693648
DEBUG 2024-06-04 12:53:34,391 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1716894251.9229374
DEBUG 2024-06-04 12:53:34,391 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\DLLs\_bz2.pyd first seen with mtime 1701712982.0
DEBUG 2024-06-04 12:53:34,392 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\bisect.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,392 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1716894251.7357771
DEBUG 2024-06-04 12:53:34,393 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1716894248.9762325
DEBUG 2024-06-04 12:53:34,393 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1716894251.5938523
DEBUG 2024-06-04 12:53:34,394 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\asyncio\mixins.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,394 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1716894251.9812982
DEBUG 2024-06-04 12:53:34,394 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1716894251.917742
DEBUG 2024-06-04 12:53:34,394 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,395 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1716894251.9839716
DEBUG 2024-06-04 12:53:34,395 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\mainapp\urls.py first seen with mtime 1717498288.8535066
DEBUG 2024-06-04 12:53:34,396 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\urllib\parse.py first seen with mtime 1701712920.0
